"Id_droga";"Nombre_droga"
469;"Vardenafil"
470;"Fenobarbital"
471;"Dexametasona"
472;"Vardenafil"
473;"Dexametasona"
474;"Clindamicina"
475;"Glimepirida"
476;"Doxiciclina"
477;"Levofloxacino"
478;"Hidroclorotiazida"
479;"Venlafaxina"
480;"Loratadina"
481;"Ondansetron"
482;"Rifampicina"
483;"Meloxicam"
484;"Ciprofloxacino"
485;"Tramadol"
486;"Ezetimiba"
487;"Metronidazol"
488;"Pantoprazol"
489;"Metronidazol"
490;"Cetirizina"
491;"Terbinafina"
492;"Nistatina"
493;"Clindamicina"
494;"Levofloxacino"
495;"Ceftriaxona"
496;"Salmeterol"
497;"Levofloxacino"
498;"Sertralina"
499;"Ciclosporina"
500;"Omeprazol"
